games_2023,minutes_played_2023,goals_2023,assists_2023,goals_against_2023,goals_for_2023,clean_sheet_2023,position,sub_position,foot,height_in_cm,age,term_days_remaining,market_value_in_eur,highest_market_value_in_eur,yellow_cards_2023,red_cards_2023,current_club_domestic_competition_id
7.0,600.0,0.0,0.0,8.0,13.0,1.0,0,0,1.0,191.0,37.0,70,400000.0,4000000.0,0.0,0.0,3
29.0,2610.0,0.0,0.0,43.0,39.0,9.0,0,0,1.0,189.0,37.0,70,1500000.0,8000000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,185.0,35.0,70,1200000.0,15000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,174.0,36.0,254,2000000.0,70000000.0,0.0,0.0,4
25.0,1319.0,1.0,2.0,39.0,28.0,4.0,1,1,1.0,186.0,35.0,70,800000.0,5000000.0,5.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,190.0,33.0,254,3000000.0,35000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,191.0,37.0,70,800000.0,9000000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,184.0,32.0,70,200000.0,600000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,190.0,34.0,435,175000.0,250000.0,0.0,0.0,0
26.0,1722.0,1.0,2.0,51.0,36.0,4.0,2,5,1.0,183.0,33.0,70,2000000.0,5000000.0,2.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,188.0,31.0,70,400000.0,3500000.0,0.0,0.0,2
22.0,1137.0,1.0,4.0,27.0,40.0,5.0,3,3,1.0,189.0,33.0,70,10000000.0,45000000.0,1.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,173.0,33.0,800,2000000.0,8000000.0,0.0,0.0,3
31.0,2732.0,3.0,1.0,39.0,47.0,9.0,2,4,0.0,180.0,35.0,70,1800000.0,10000000.0,2.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,175.0,33.0,70,300000.0,2000000.0,0.0,0.0,2
