games_2023,minutes_played_2023,goals_2023,assists_2023,goals_against_2023,goals_for_2023,clean_sheet_2023,position,sub_position,foot,height_in_cm,age,term_days_remaining,market_value_in_eur,highest_market_value_in_eur,yellow_cards_2023,red_cards_2023,current_club_domestic_competition_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,187.0,27.0,1162,75000000.0,75000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,0.0,175.0,32.0,432,70000000.0,150000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,193.0,33.0,432,45000000.0,100000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,,184.0,32.0,432,60000000.0,90000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,1.0,180.0,26.0,432,65000000.0,110000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,193.0,38.0,67,7000000.0,45000000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.0,184.0,21.0,797,110000000.0,110000000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,195.0,24.0,1162,170000000.0,170000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,174.0,21.0,797,100000000.0,100000000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,178.0,30.0,797,48000000.0,80000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,186.0,21.0,432,120000000.0,120000000.0,0.0,0.0,1
